"","Province.State","Date","Case"
"270","Puerto Rico",2020-06-30,7465
"271","Rhode Island",2020-01-31,0
"272","Rhode Island",2020-02-29,0
"273","Rhode Island",2020-03-31,488
"274","Rhode Island",2020-04-30,8621
"275","Rhode Island",2020-05-31,14928
"276","Rhode Island",2020-06-30,16813
"277","South Carolina",2020-01-31,0
"278","South Carolina",2020-02-29,0
"279","South Carolina",2020-03-31,1083
"280","South Carolina",2020-04-30,6095
"281","South Carolina",2020-05-31,11861
"282","South Carolina",2020-06-30,36399
"283","South Dakota",2020-01-31,0
"284","South Dakota",2020-02-29,0
"285","South Dakota",2020-03-31,108
"286","South Dakota",2020-04-30,2449
"287","South Dakota",2020-05-31,4993
"288","South Dakota",2020-06-30,6764
"289","Tennessee",2020-01-31,0
"290","Tennessee",2020-02-29,0
"291","Tennessee",2020-03-31,2391
"292","Tennessee",2020-04-30,10735
"293","Tennessee",2020-05-31,22566
"294","Tennessee",2020-06-30,43509
"295","Texas",2020-01-31,0
"296","Texas",2020-02-29,0
"297","Texas",2020-03-31,3809
"298","Texas",2020-04-30,28727
"299","Texas",2020-05-31,64652
"300","Texas",2020-06-30,163060
"301","Utah",2020-01-31,0
"302","Utah",2020-02-29,0
"303","Utah",2020-03-31,888
"304","Utah",2020-04-30,4672
"305","Utah",2020-05-31,9797
"306","Utah",2020-06-30,22217
"307","Vermont",2020-01-31,0
"308","Vermont",2020-02-29,0
"309","Vermont",2020-03-31,293
"310","Vermont",2020-04-30,866
"311","Vermont",2020-05-31,981
"312","Vermont",2020-06-30,1208
"313","Virgin Islands",2020-01-31,0
"314","Virgin Islands",2020-02-29,0
"315","Virgin Islands",2020-03-31,30
"316","Virgin Islands",2020-04-30,66
"317","Virgin Islands",2020-05-31,69
"318","Virgin Islands",2020-06-30,81
"319","Virginia",2020-01-31,0
"320","Virginia",2020-02-29,0
"321","Virginia",2020-03-31,1249
"322","Virginia",2020-04-30,15847
"323","Virginia",2020-05-31,44607
"324","Virginia",2020-06-30,62787
"325","Washington",2020-01-31,1
"326","Washington",2020-02-29,7
"327","Washington",2020-03-31,5432
"328","Washington",2020-04-30,14327
"329","Washington",2020-05-31,21702
"330","Washington",2020-06-30,32824
"331","West Virginia",2020-01-31,0
"332","West Virginia",2020-02-29,0
"333","West Virginia",2020-03-31,162
"334","West Virginia",2020-04-30,1125
"335","West Virginia",2020-05-31,2010
"336","West Virginia",2020-06-30,2905
"337","Wisconsin",2020-01-31,0
"338","Wisconsin",2020-02-29,0
"339","Wisconsin",2020-03-31,1412
"340","Wisconsin",2020-04-30,6854
"341","Wisconsin",2020-05-31,18403
"342","Wisconsin",2020-06-30,28659
"343","Wyoming",2020-01-31,0
"344","Wyoming",2020-02-29,0
"345","Wyoming",2020-03-31,109
"346","Wyoming",2020-04-30,559
"347","Wyoming",2020-05-31,903
"348","Wyoming",2020-06-30,1487
